"logFC","logCPM","PValue","FDR","SYMBOL","ENTREZID"
-6.71351774072832,6.28878471566825,2.20464223679922e-07,0.000249505374599214,"Myl7","17898"
-5.79944242639623,3.99216645974263,5.51704529139916e-07,0.000513933526743353,"Sln","66402"
-5.23586024672548,5.70460851686521,2.58646936976935e-06,0.00180475735887417,"Myl4","17896"
-4.96103687088773,1.96783541798387,1.40904370475367e-06,0.00116941233869856,"Hamp","84506"
-4.00752657422254,1.43875183101831,2.60949734595029e-06,0.00180475735887417,"Cyp2e1","13106"
-3.88257751730535,-0.862539478409442,0.000105505434727641,0.0285529816722696,"Mat1a","11720"
-2.76543421480128,3.3838898996666,0.000224222941408024,0.0481357357254114,"Car3","12350"
-2.67686299843096,2.70342393434033,0.000216479843354013,0.0481242423198949,"Alb","11657"
-2.34432044536045,1.43007891192319,7.48573899584814e-05,0.0211795374452985,"Lrp2","14725"
-2.28180125478883,0.175948076847072,5.50266588370445e-05,0.0181782015738056,"Fras1","231470"
-2.05883009338676,3.15412737061977,1.99090321443398e-05,0.00826158470549622,"Fam177a2","100101807"
-2.04501321849168,3.18937645315784,3.58043856213879e-10,7.42881327667763e-07,"Hmcn2","665700"
-1.67246262397242,2.69008776297431,2.56164200176767e-06,0.00180475735887417,"Adamtsl2","77794"
-1.66791310774335,2.64780995235765,1.34621002310838e-05,0.00670358743107048,"Muc16","73732"
-1.61436463627069,6.00645286458992,0.000208080330761614,0.0472436029604475,"Fasn","14104"
-1.58112336498974,3.01966161918134,3.22899331100129e-09,5.74253396123644e-06,"Cyp26b1","232174"
-1.53940850780153,1.06027190721115,5.83870063709095e-05,0.0183762984843011,"Cldn15","60363"
-1.27265855797721,5.17989530721283,5.93428831655313e-05,0.0183762984843011,"Hmgcs2","15360"
-1.14510514416527,3.16566065714853,3.11292934457328e-05,0.0121102679408102,"Pkhd1l1","192190"
-0.990679260860218,3.96447719448605,4.45464038284691e-05,0.0163105347429592,"Fbp2","14120"
-0.975925421255339,2.72733402539723,0.000100024847729472,0.0276713184307599,"Efemp1","216616"
-0.858934947314231,4.60372801049121,0.00011050109840913,0.0288300164065439,"Pi16","74116"
-0.825428318260672,3.820931969744,8.55792746457989e-06,0.00463207126115457,"Aebp1","11568"
0.616257073228585,7.10517821528706,0.000204845171868582,0.0472436029604475,"Hsp90aa1","15519"
0.800824602259089,4.10733215266493,6.47980075133372e-05,0.0192064379888937,"Irgm1","15944"
0.821355973558004,4.2342728981477,0.000112925296751826,0.0288300164065439,"H2-T23","15040"
0.864450619118516,4.288718811293,0.00015971887997087,0.038987065426615,"Gbp7","229900"
0.886043932893581,5.93538302704909,6.05211854652057e-05,0.0183762984843011,"Gvin2","100042856"
0.938924371956108,4.46933305834427,0.000125297098654447,0.0311964716229842,"Gbp4","17472"
0.987015569343776,7.17313721758579,5.69124632246729e-07,0.000513933526743353,"B2m","12010"
0.989880991246698,2.9447079517851,3.88698490814276e-05,0.0146633560974149,"H2-Ab1","14961"
0.994380906028465,3.35039233957616,2.72153244599506e-05,0.0109291475549008,"Polq","77782"
1.00781770088347,5.21923601149779,5.46373726343062e-06,0.00323895548535466,"Cd74","16149"
1.01481960102791,3.13091646460487,5.33885935350153e-05,0.0181782015738056,"H2-Aa","14960"
1.04101646682253,4.59164991050551,5.42188532776406e-05,0.0181782015738056,"H2-K1","14972"
1.15675945145835,3.67666354262877,1.46095281414095e-05,0.00673607466045954,"Psmb8","16913"
1.27798735121155,3.45488445374354,5.5488124331642e-05,0.0181782015738056,"Gbp3","55932"
1.30972171740465,3.12127315806142,0.000113476649041742,0.0288300164065439,"Fam177a","73385"
1.33075017331866,2.99621031014885,1.96171079689493e-05,0.00826158470549622,"H2-Eb1","14969"
1.34810110101773,4.09935216898418,2.88818917041872e-06,0.00189237194644961,"Irgm2","54396"
1.3736862682277,3.87417860011912,5.38236557727121e-13,1.67512672678623e-09,"Dnajb1","81489"
1.38781964327287,2.50098834311331,1.45144816767039e-05,0.00673607466045954,"Tgtp1","21822"
1.48204717264536,2.54615759703578,0.000170321592654811,0.0407756443646104,"Ifi44","99899"
1.48316809258153,5.71543525708284,1.79458743437388e-05,0.00797886391804302,"Stat1","20846"
1.50154033385273,4.68056424441283,1.45323960764948e-07,0.000180913798756284,"Iigp1","60440"
1.57199575520558,3.46903343945777,2.0053113508625e-08,2.77379122298748e-05,"Tgtp2","100039796"
1.63382529528153,3.30599361693298,5.7843204164251e-06,0.00327313658473073,"Irf7","54123"
1.8271644922595,3.8740836566797,5.77963641610325e-07,0.000513933526743353,"Igtp","16145"
1.99619932877965,0.0572712433971636,0.000224264814207877,0.0481357357254114,"Cd79a","12518"
2.06650259308992,3.79365076537906,1.95360966833847e-16,8.10682892038186e-13,"Neb","17996"
3.3262079091674,2.47486195967364,5.61351452376569e-18,3.49413211531796e-14,"Hspa1b","15511"
3.48347081385322,2.84563115178282,1.21270242144828e-23,1.50969324446097e-19,"Hspa1a","193740"
4.20476389878532,0.962702086313645,6.81883345147436e-05,0.0197413157296289,"Gm4841","225594"
4.22134549440615,5.92306171870902,1.06062606690606e-08,1.65046673836419e-05,"F830016B08Rik","240328"
4.94087751311675,-0.527964870215757,0.000208723444680264,0.0472436029604475,"Pcp4","18546"
