"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TNF",-0.922040003199989,9.49217162935439,-2.7540652509921,0.0295088956036126,0.320545988233776,-4.19372486070326
"JAM3",-0.346692507065869,5.41898635764949,-2.63087245568314,0.0351360023010136,0.320545988233776,-4.21880355098114
"CD47",0.908909451542815,9.24509679873912,2.58376462020359,0.0375756071443863,0.320545988233776,-4.22867551701988
"CD81",0.277272071159066,10.9091554998615,2.47015885987558,0.0442132397563829,0.320545988233776,-4.25311546329857
"KLF2",-0.335936397226144,7.96889863444581,-2.21206317525726,0.064182494688466,0.354144871725552,-4.31181545302528
"PECAM1",-0.360554154195124,4.51330494483353,-2.1207895340228,0.0732713527708039,0.354144871725552,-4.33354449190927
"IL6",-0.396772035732035,12.6812697624406,-1.74607710554195,0.126078840084712,0.522326623208092,-4.42678601440949
"CCL4",-0.453757344574373,3.77595155511492,-1.62115988397533,0.150791713460227,0.528293275731332,-4.45874476109153
"CRP",-0.233333370177786,4.0130687778053,-1.55876122385343,0.164781795041863,0.528293275731332,-4.47474103950853
"IL4",-0.192098288506053,3.72746642071669,-1.48771985878973,0.18217009507977,0.528293275731332,-4.49291824651221
"CCL2",-0.236545110954617,5.06099026042328,-1.20800417043903,0.267830324208388,0.701403488158185,-4.5629560286899
"CCL5",0.279931109377499,7.89805399580267,1.12559438397858,0.298921729774176,0.701403488158185,-4.58270422142629
"ICAM1",-0.3558698103857,11.7298759366961,-0.974508001897688,0.363565714315433,0.701403488158185,-4.6172084022108
"ICAM2",-0.201583898582786,5.50192874612046,-0.903560946920731,0.39745803348273,0.701403488158185,-4.63246537556895
"IL6R",-0.36148245875351,7.71552199041375,-0.839111551885084,0.430238891775113,0.701403488158185,-4.64570224884802
"SELE",-0.143347258685133,4.45168098810329,-0.777326722675962,0.463443991265102,0.701403488158185,-4.65777399320173
"IFNG",0.18681121143843,3.69718301293016,0.737259940988658,0.485900132400442,0.701403488158185,-4.6652522867166
"JAM2",-0.207804786792204,8.54900995367927,-0.722580864292528,0.494307083298623,0.701403488158185,-4.6679194745505
"CD40LG",-0.0931611080961772,3.50401968758088,-0.716836747441083,0.497622888567083,0.701403488158185,-4.66895230835094
"CD99",0.119149990629534,8.86435345743625,0.714115869105083,0.499198621066692,0.701403488158185,-4.66943938701297
"CCR2",-0.10738705154037,3.6079534520395,-0.699169234248675,0.507912870735237,0.701403488158185,-4.67209011918984
"IL6ST",-0.0930425629232374,10.5466775550439,-0.513110582563255,0.624303814830396,0.822945937730976,-4.70127304334963
"CCL7",-0.104876340638483,4.70958961399687,-0.452548953858689,0.665119001273586,0.838628305953652,-4.70911225846679
"CCL3",-0.0743185257470165,5.95088078817573,-0.392703493471834,0.70669523254903,0.853923405996744,-4.71598732373075
"IL33",-0.0624187680724235,3.32239870570397,-0.32201565009362,0.757224817372598,0.878380788152213,-4.72294314624734
"CCL8",0.0442208966270305,4.45059891086645,0.22773388593912,0.826625641781969,0.904459103230712,-4.73017379683874
"SELP",-0.0353506679448206,4.95066927140484,-0.207078216335734,0.842082613352732,0.904459103230712,-4.73143659936259
"VCAM1",-0.0122349616778124,4.6227822795351,-0.0928694402831872,0.928714826808431,0.961883213480161,-4.73628030297781
"PVR",-0.00565010646343822,8.67234028051907,-0.0414975595182109,0.968105030211487,0.968105030211487,-4.73726154028776
